127,104,99
117,95,91
119,95,89
123,99,93
129,107,100
120,97,90
118,96,90
124,103,98
122,103,100
123,104,103
118,99,97
126,106,103
123,103,101
117,97,95
124,103,99
127,105,99
127,103,96
117,94,89
124,101,92
123,99,91
132,110,102
122,100,93
128,106,97
129,110,104
128,109,107
130,112,110
137,119,117
132,113,109
128,109,106
121,102,100
127,107,102
128,107,102
123,101,95
113,92,87
119,97,89
117,93,87
126,103,97
117,94,87
124,101,94
124,103,98
122,103,101
120,102,101
127,108,106
123,104,101
121,102,100
114,96,93
119,102,98
127,109,106
124,106,102
116,97,94
123,105,102
124,105,102
132,113,111
120,102,100
126,107,103
122,104,102
120,102,100
120,102,101
127,109,107
122,103,101
118,100,98
112,93,92
119,100,98
128,109,108
126,106,104
116,95,93
122,102,101
123,103,101
131,111,109
119,100,99
129,108,105
127,107,105
129,108,105
127,108,106
134,114,111
128,108,104
124,104,101
118,98,95
123,102,100
130,110,108
125,104,101
116,95,92
122,101,99
122,102,98
128,109,106
115,96,93
125,104,100
122,101,98
121,100,97
123,103,100
129,108,105
126,105,101
124,104,100
120,99,96
125,104,101
130,111,108
123,103,99
117,97,94
123,103,100
120,101,97
129,110,107
118,99,97
125,105,102
123,103,101
123,104,101
123,104,103
131,112,110
125,106,103
123,104,101
117,97,94
120,101,98
126,109,107
123,104,101
129,112,110
125,108,106
125,107,104
124,107,106
122,104,101
122,104,101
124,107,105
124,106,103
126,109,107
119,102,100
119,100,98
117,100,98
114,96,94
112,93,91
113,93,92
109,88,87
116,96,96
110,90,89
110,86,85
110,87,87
111,86,86
111,84,83
110,84,85
112,82,83
115,86,88
111,83,84
122,83,85
126,89,91
122,86,88
126,85,88
145,82,85
144,78,81
145,82,84
148,87,88
146,81,83
146,78,79
151,77,77
155,75,74
157,71,71
155,70,69
160,65,64
161,64,62
165,62,59
168,62,59
168,59,55
166,55,52
162,63,63
163,72,72
163,86,87
168,95,95
171,107,105
172,114,113
181,127,126
178,128,126
183,136,133
212,164,160
219,176,177
224,183,186
234,193,196
231,189,190
242,204,209
244,205,210
244,208,213
243,204,208
243,203,207
243,204,209
245,207,211
245,206,210
245,207,212
243,206,212
244,205,210
244,206,211
245,205,212
244,207,215
244,200,205
244,200,205
245,201,206
245,198,202
245,198,202
244,198,202
245,200,205
245,197,201
240,192,194
242,196,200
244,197,201
244,198,201
245,199,203
245,199,203
246,199,202
245,197,199
244,196,200
245,198,202
244,196,199
239,191,192
244,198,202
243,197,199
244,197,199
244,197,200
245,196,197
246,198,200
244,195,198
243,195,198
243,197,200
240,192,195
242,195,198
242,197,200
242,198,201
242,197,200
244,198,201
245,199,201
244,197,200
245,199,202
243,197,201
244,196,198
244,197,200
242,196,199
244,200,204
244,201,204
244,200,202
244,200,202
245,201,204
245,201,205
246,201,204
244,200,203
245,200,204
246,201,204
247,201,203
246,200,202
242,199,202
243,200,202
245,202,205
246,202,205
247,203,206
246,202,205
246,202,205
245,199,202
244,197,198
244,198,200
245,200,203
244,198,200
247,201,204
247,200,202
246,201,205
246,201,204
246,202,206
245,200,204
240,193,195
242,198,201
244,198,201
244,199,201
245,199,201
245,200,202
246,199,202
245,199,202
246,200,204
245,198,202
244,195,197
245,194,195
246,199,203
245,199,202
247,202,205
246,201,205
246,201,205
245,200,203
244,198,202
242,195,197
240,195,198
243,195,197
242,196,197
242,196,196
241,196,197
241,196,197
244,198,200
243,198,198
242,197,199
241,197,200
241,196,198
243,198,201
244,198,200
244,197,198
245,200,202
244,197,198
245,201,203
243,198,198
244,200,200
244,198,199
242,196,197
241,194,195
240,195,198
238,194,196
242,199,202
242,198,200
243,200,204
244,200,204
244,200,203
243,197,200
244,198,201
243,199,202
244,201,205
242,197,201
243,198,202
242,196,200
241,195,198
239,192,194
244,197,198
244,196,197
243,193,193
244,195,197
243,196,198
243,193,196
244,195,198
